tip_proprietate,nr_camere,suprafata,suprafata_teren,an_constructie,zona,pret
CAS,4,132,200,2020,strada-castelul-grecilor,104900
CAS,4,110,380,2020,nicolina-1,88000
CAS,5,217,2 000,2009,strada-prof.-i.-p.-culianu,385000
CAS,5,123,320,2020,bucium,109500
CAS,5,117,400,2020,bucium,98000
CAS,3,160,90,2019,centru,69500
CAS,6,554,968,2000,tatarasi-nord,1800000
CAS,4,120,250,2019,soseaua-pacurari,87000
CAS,3,100,200,2020,bucium,120000
CAS,3,309,2 430,2018,pacurari,350000
CAS,7,415,1 260,2015,galata,580000
CAS,10 sau mai multe,480,1 285,2008,centru,410000
CAS,5,155,500,2020,bucium,205000
CAS,3,100,365,2020,strada-principala,90000
CAS,4,140,120,2021,bucium,115000
CAS,7,200,300,2015,moara-de-vant,310000
CAS,4,115,205,2016,bucium,163000
CAS,4,110,320,2019,centru,98000
CAS,7,380,900,2018,bucium,149000
CAS,10 sau mai multe,925,4 000,2003,centru,490000
CAS,5,95,115,2020,cug,87000
CAS,3,140,455,1970,copou,180000
CAS,4,114,250,2018,strada-prof.-i.-p.-culianu,169000
CAS,4,322,285,2021,tatarasi-nord,315000
CAS,5,120,460,2021,bucium,125000
CAS,4,98,250,2021,strada-principala,79500
CAS,4,95,205,2020,soseaua-iasi-voinesti,119900
CAS,7,335,515,2010,bucium,620000
CAS,4,109,300,2019,strada-principala,86000
CAS,6,290,600,2013,aviatiei,300000
CAS,4,120,350,2020,fundacul-crinului,105000
CAS,4,100,413,2020,strada-prunilor,98000
CAS,5,105,450,2020,bucium,117000
CAS,4,147,490,2012,cug,158000
CAS,8,260,1 000,2012,strada-principala,210000
CAS,4,100,450,1960,aviatiei,75000
CAS,5,280,500,2020,pacurari,275000
CAS,3,80,230,2021,strada-principala,65000
CAS,10 sau mai multe,480,1 285,2008,centru,390000
CAS,4,210,520,2018,strada-bazei,149900
CAS,4,134,440,2021,bucium,119950
